Numero,Area,Centroide_x,Centroide_y
1,221,5.5610859728506785,33.46153846153846
2,37,1.864864864864865,117.10810810810811
3,705,16.663829787234043,148.32198581560283
4,101,3.9702970297029703,186.21782178217822
5,427,21.437939110070257,86.5784543325527
6,893,24.105263157894736,216.18253079507278
7,456,23.04824561403509,12.835526315789474
8,401,24.733167082294266,118.2793017456359
9,383,65.90600522193212,131.3289817232376
10,1339,70.21060492905153,183.19268110530246
11,448,73.10044642857143,34.05357142857143
12,459,73.25708061002179,68.33986928104575
13,470,92.77659574468085,240.95744680851064
14,454,107.92070484581498,85.95374449339207
15,444,108.56756756756756,147.02027027027026
16,446,109.72421524663677,208.0605381165919
17,591,130.61082910321488,44.287648054145514
18,330,127.05757575757576,247.73939393939395
19,419,148.52267303102624,69.75178997613365
20,935,172.0524064171123,219.78823529411764
21,430,161.24418604651163,113.52558139534884
22,556,173.22841726618705,30.834532374100718
23,354,186.73728813559322,101.10169491525424
24,441,190.63718820861678,181.03854875283446
25,386,213.2020725388601,136.5984455958549
26,10,204.0,0.5
27,397,219.24937027707807,90.83879093198992
28,185,219.2216216216216,250.81621621621622
29,362,220.99171270718233,197.01657458563537
30,294,237.0748299319728,45.585034013605444
31,416,244.08653846153845,220.6658653846154
32,8,254.625,86.0
