Numero,Area,Centroide_x,Centroide_y
1,67,3.4328358208955225,71.38805970149254
2,406,12.113300492610838,106.63300492610837
3,295,6.291525423728814,130.76271186440678
4,180,4.8,190.98888888888888
5,476,16.682773109243698,23.281512605042018
6,715,38.68951048951049,236.24055944055945
7,464,60.293103448275865,57.627155172413794
8,540,65.36851851851851,156.86666666666667
9,568,100.36091549295774,64.72183098591549
10,514,123.00778210116732,215.77237354085602
11,621,128.80998389694042,245.3913043478261
12,527,136.3548387096774,175.5787476280835
13,501,134.8443113772455,105.80838323353294
14,322,150.00310559006212,22.282608695652176
15,483,158.3271221532091,150.2567287784679
16,533,163.15384615384616,63.97936210131332
17,485,171.01855670103092,198.08453608247422
18,633,176.06319115323853,14.387045813586099
19,324,195.6358024691358,248.93827160493828
20,668,210.17065868263472,65.87125748502994
21,755,220.46754966887417,119.01986754966887
22,247,220.51012145748987,241.914979757085
23,561,233.79679144385025,157.93226381461676
24,34,253.08823529411765,234.61764705882354
