Numero,Area,Centroide_x,Centroide_y
1,222,5.558558558558558,33.5045045045045
2,38,1.9473684210526316,117.07894736842105
3,706,16.652974504249293,148.30736543909347
4,101,3.9702970297029703,186.21782178217822
5,430,21.44418604651163,86.64186046511628
6,896,24.116071428571427,216.203125
7,459,23.021786492374726,12.830065359477125
8,402,24.72139303482587,118.2587064676617
9,383,65.90600522193212,131.3289817232376
10,1347,70.21603563474387,183.2160356347439
11,450,73.1511111111111,34.053333333333335
12,462,73.2965367965368,68.28354978354979
13,475,92.73263157894736,240.98736842105262
14,456,107.89912280701755,85.95614035087719
15,449,109.65478841870824,208.11135857461025
16,447,108.54362416107382,147.05369127516778
17,596,130.66442953020135,44.307046979865774
18,330,127.05757575757576,247.73939393939395
19,420,148.5047619047619,69.78095238095239
20,940,172.0723404255319,219.82765957446807
21,433,161.2771362586605,113.57967667436489
22,560,173.23214285714286,30.835714285714285
23,357,186.6638655462185,101.14565826330532
24,442,190.6606334841629,181.0452488687783
25,387,213.16795865633074,136.58397932816538
26,10,204.0,0.5
27,397,219.24937027707807,90.83879093198992
28,187,219.14973262032086,250.80748663101605
29,362,220.99171270718233,197.01657458563537
30,295,237.06101694915253,45.62033898305085
31,418,244.04306220095694,220.67224880382776
32,8,254.625,86.0
